category,chapter,axis,confidence,outcome,score
4.4,2,Register,high,CONFIRMED,0
4.4,2,Concreteness,high,CONFIRMED,0
4.4,2,Interiority,high,CONFIRMED,0
4.4,2,Attention,high,VIOLATED,2
4.4,2,Silence,high,CONFIRMED,0
4.4,2,Signature,high,PARTIAL,1
4.4,3,Duration,high,VIOLATED,2
4.4,3,Register,high,CONFIRMED,0
4.4,3,Concreteness,high,PARTIAL,1
4.4,3,Interiority,high,CONFIRMED,0
4.4,3,Attention,high,CONFIRMED,0
4.4,3,Silence,high,CONFIRMED,0
4.4,3,Signature,high,PARTIAL,1
4.4,4,Duration,high,VIOLATED,2
4.4,4,Register,high,VIOLATED,2
4.4,4,Concreteness,high,PARTIAL,1
4.4,4,Interiority,high,CONFIRMED,0
4.4,4,Attention,high,VIOLATED,2
4.4,4,Silence,high,CONFIRMED,0
4.4,4,Signature,high,VIOLATED,2
4.4,5,Duration,med,CONFIRMED,0
4.4,5,Register,med,CONFIRMED,0
4.4,5,Concreteness,med,CONFIRMED,0
4.4,5,Interiority,med,CONFIRMED,0
4.4,5,Attention,med,PARTIAL,1
4.4,5,Silence,med,CONFIRMED,0
4.4,5,Signature,med,CONFIRMED,0
4.4,6,Duration,high,CONFIRMED,0
4.4,6,Register,high,PARTIAL,1
4.4,6,Concreteness,high,PARTIAL,1
4.4,6,Interiority,high,PARTIAL,1
4.4,6,Attention,high,PARTIAL,1
4.4,6,Silence,high,CONFIRMED,0
4.4,6,Signature,high,CONFIRMED,0
4.4,7,Duration,high,CONFIRMED,0
4.4,7,Register,high,CONFIRMED,0
4.4,7,Concreteness,high,CONFIRMED,0
4.4,7,Interiority,high,PARTIAL,1
4.4,7,Attention,high,CONFIRMED,0
4.4,7,Silence,high,CONFIRMED,0
4.4,7,Signature,high,CONFIRMED,0
4.4,8,Duration,high,CONFIRMED,0
4.4,8,Register,high,PARTIAL,1
4.4,8,Concreteness,high,CONFIRMED,0
4.4,8,Interiority,high,CONFIRMED,0
4.4,8,Attention,high,VIOLATED,2
4.4,8,Silence,high,VIOLATED,2
4.4,8,Signature,high,PARTIAL,1
4.4,9,Duration,high,CONFIRMED,0
4.4,9,Register,high,PARTIAL,1
4.4,9,Concreteness,high,CONFIRMED,0
4.4,9,Interiority,high,VIOLATED,2
4.4,9,Attention,high,PARTIAL,1
4.4,9,Silence,high,PARTIAL,1
4.4,9,Signature,high,PARTIAL,1
4.4,10,Duration,high,VIOLATED,2
4.4,10,Register,high,PARTIAL,1
4.4,10,Concreteness,high,VIOLATED,2
4.4,10,Interiority,high,PARTIAL,1
4.4,10,Attention,high,PARTIAL,1
4.4,10,Silence,high,CONFIRMED,0
4.4,10,Signature,high,CONFIRMED,0
4.4,11,Duration,,N/A,
4.4,11,Register,,N/A,
4.4,11,Concreteness,,N/A,
4.4,11,Interiority,,N/A,
4.4,11,Attention,,N/A,
4.4,11,Silence,,N/A,
4.4,11,Signature,,N/A,
4.4,12,Duration,,N/A,
4.4,12,Register,,N/A,
4.4,12,Concreteness,,N/A,
4.4,12,Interiority,,N/A,
4.4,12,Attention,,N/A,
4.4,12,Silence,,N/A,
4.4,12,Signature,,N/A,
4.5,1,Duration,high,VIOLATED,2
4.5,1,Register,high,PARTIAL,1
4.5,1,Concreteness,high,PARTIAL,1
4.5,1,Interiority,high,CONFIRMED,0
4.5,1,Attention,high,PARTIAL,1
4.5,1,Silence,high,CONFIRMED,0
4.5,1,Signature,high,PARTIAL,1
4.5,2,Duration,high,VIOLATED,2
4.5,2,Register,high,PARTIAL,1
4.5,2,Concreteness,high,PARTIAL,1
4.5,2,Interiority,high,PARTIAL,1
4.5,2,Attention,,N/A,
4.5,2,Silence,high,CONFIRMED,0
4.5,2,Signature,high,CONFIRMED,0
4.5,3,Duration,high,VIOLATED,2
4.5,3,Register,high,CONFIRMED,0
4.5,3,Concreteness,high,CONFIRMED,0
4.5,3,Interiority,high,CONFIRMED,0
4.5,3,Attention,high,VIOLATED,2
4.5,3,Silence,high,PARTIAL,1
4.5,3,Signature,high,PARTIAL,1
4.5,4,Duration,high,VIOLATED,2
4.5,4,Register,high,PARTIAL,1
4.5,4,Concreteness,high,CONFIRMED,0
4.5,4,Interiority,high,PARTIAL,1
4.5,4,Attention,high,VIOLATED,2
4.5,4,Silence,high,PARTIAL,1
4.5,4,Signature,high,PARTIAL,1
4.5,5,Duration,high,CONFIRMED,0
4.5,5,Register,high,PARTIAL,1
4.5,5,Concreteness,high,CONFIRMED,0
4.5,5,Interiority,high,PARTIAL,1
4.5,5,Attention,high,CONFIRMED,0
4.5,5,Silence,high,PARTIAL,1
4.5,5,Signature,high,CONFIRMED,0
4.5,6,Duration,high,VIOLATED,2
4.5,6,Register,high,PARTIAL,1
4.5,6,Concreteness,high,PARTIAL,1
4.5,6,Interiority,high,PARTIAL,1
4.5,6,Attention,high,VIOLATED,2
4.5,6,Silence,high,PARTIAL,1
4.5,6,Signature,high,PARTIAL,1
4.5,7,Duration,high,CONFIRMED,0
4.5,7,Register,high,CONFIRMED,0
4.5,7,Concreteness,high,CONFIRMED,0
4.5,7,Interiority,high,CONFIRMED,0
4.5,7,Attention,high,CONFIRMED,0
4.5,7,Silence,high,CONFIRMED,0
4.5,7,Signature,high,CONFIRMED,0
4.5,8,Duration,high,VIOLATED,2
4.5,8,Register,high,PARTIAL,1
4.5,8,Concreteness,high,PARTIAL,1
4.5,8,Interiority,high,VIOLATED,2
4.5,8,Attention,high,VIOLATED,2
4.5,8,Silence,high,PARTIAL,1
4.5,8,Signature,high,PARTIAL,1
4.5,9,Duration,high,VIOLATED,2
4.5,9,Register,high,CONFIRMED,0
4.5,9,Concreteness,high,CONFIRMED,0
4.5,9,Interiority,high,VIOLATED,2
4.5,9,Attention,high,PARTIAL,1
4.5,9,Silence,high,PARTIAL,1
4.5,9,Signature,high,PARTIAL,1
4.5,10,Duration,high,VIOLATED,2
4.5,10,Register,high,PARTIAL,1
4.5,10,Concreteness,high,VIOLATED,2
4.5,10,Interiority,high,PARTIAL,1
4.5,10,Attention,high,PARTIAL,1
4.5,10,Silence,high,CONFIRMED,0
4.5,10,Signature,high,CONFIRMED,0
4.5,11,Duration,,N/A,
4.5,11,Register,,N/A,
4.5,11,Concreteness,,N/A,
4.5,11,Interiority,,N/A,
4.5,11,Attention,,N/A,
4.5,11,Silence,,N/A,
4.5,11,Signature,,N/A,
4.5,12,Duration,,N/A,
4.5,12,Register,,N/A,
4.5,12,Concreteness,,N/A,
4.5,12,Interiority,,N/A,
4.5,12,Attention,,N/A,
4.5,12,Silence,,N/A,
4.5,12,Signature,,N/A,
4.6,1,Duration,high,VIOLATED,2
4.6,1,Register,high,CONFIRMED,0
4.6,1,Concreteness,high,CONFIRMED,0
4.6,1,Interiority,high,CONFIRMED,0
4.6,1,Attention,high,VIOLATED,2
4.6,1,Silence,high,CONFIRMED,0
4.6,1,Signature,high,CONFIRMED,0
4.6,2,Duration,high,CONFIRMED,0
4.6,2,Register,high,CONFIRMED,0
4.6,2,Concreteness,high,CONFIRMED,0
4.6,2,Interiority,high,VIOLATED,2
4.6,2,Attention,high,CONFIRMED,0
4.6,2,Silence,high,PARTIAL,1
4.6,2,Signature,high,CONFIRMED,0
4.6,3,Duration,high,PARTIAL,1
4.6,3,Register,high,CONFIRMED,0
4.6,3,Concreteness,high,CONFIRMED,0
4.6,3,Interiority,high,CONFIRMED,0
4.6,3,Attention,high,PARTIAL,1
4.6,3,Silence,high,CONFIRMED,0
4.6,3,Signature,high,CONFIRMED,0
4.6,4,Duration,high,VIOLATED,2
4.6,4,Register,high,CONFIRMED,0
4.6,4,Concreteness,high,CONFIRMED,0
4.6,4,Interiority,high,PARTIAL,1
4.6,4,Attention,high,PARTIAL,1
4.6,4,Silence,high,VIOLATED,2
4.6,4,Signature,high,CONFIRMED,0
4.6,5,Duration,high,CONFIRMED,0
4.6,5,Register,high,VIOLATED,2
4.6,5,Concreteness,high,CONFIRMED,0
4.6,5,Interiority,high,PARTIAL,1
4.6,5,Attention,high,PARTIAL,1
4.6,5,Silence,high,VIOLATED,2
4.6,5,Signature,high,CONFIRMED,0
4.6,6,Duration,high,PARTIAL,1
4.6,6,Register,high,PARTIAL,1
4.6,6,Concreteness,high,CONFIRMED,0
4.6,6,Interiority,high,CONFIRMED,0
4.6,6,Attention,high,CONFIRMED,0
4.6,6,Silence,high,CONFIRMED,0
4.6,6,Signature,high,CONFIRMED,0
4.6,7,Duration,high,VIOLATED,2
4.6,7,Register,high,CONFIRMED,0
4.6,7,Concreteness,high,PARTIAL,1
4.6,7,Interiority,high,VIOLATED,2
4.6,7,Attention,high,PARTIAL,1
4.6,7,Silence,high,PARTIAL,1
4.6,7,Signature,high,CONFIRMED,0
4.6,8,Duration,high,VIOLATED,2
4.6,8,Register,high,VIOLATED,2
4.6,8,Concreteness,high,PARTIAL,1
4.6,8,Interiority,high,VIOLATED,2
4.6,8,Attention,high,VIOLATED,2
4.6,8,Silence,high,PARTIAL,1
4.6,8,Signature,high,VIOLATED,2
4.6,9,Duration,high,VIOLATED,2
4.6,9,Register,high,CONFIRMED,0
4.6,9,Concreteness,high,CONFIRMED,0
4.6,9,Interiority,high,VIOLATED,2
4.6,9,Attention,high,VIOLATED,2
4.6,9,Silence,high,CONFIRMED,0
4.6,9,Signature,high,CONFIRMED,0
4.6,10,Duration,med,CONFIRMED,0
4.6,10,Register,med,CONFIRMED,0
4.6,10,Concreteness,med,CONFIRMED,0
4.6,10,Interiority,med,CONFIRMED,0
4.6,10,Attention,med,PARTIAL,1
4.6,10,Silence,med,PARTIAL,1
4.6,10,Signature,med,CONFIRMED,0
4.6,11,Duration,,N/A,
4.6,11,Register,,N/A,
4.6,11,Concreteness,,N/A,
4.6,11,Interiority,,N/A,
4.6,11,Attention,,N/A,
4.6,11,Silence,,N/A,
4.6,11,Signature,,N/A,
4.6,12,Duration,,N/A,
4.6,12,Register,,N/A,
4.6,12,Concreteness,,N/A,
4.6,12,Interiority,,N/A,
4.6,12,Attention,,N/A,
4.6,12,Silence,,N/A,
4.6,12,Signature,,N/A,
4.7,1,Duration,high,VIOLATED,2
4.7,1,Register,high,CONFIRMED,0
4.7,1,Concreteness,high,CONFIRMED,0
4.7,1,Interiority,high,CONFIRMED,0
4.7,1,Attention,high,CONFIRMED,0
4.7,1,Silence,high,CONFIRMED,0
4.7,1,Signature,high,PARTIAL,1
4.7,2,Duration,high,PARTIAL,1
4.7,2,Register,high,PARTIAL,1
4.7,2,Concreteness,high,PARTIAL,1
4.7,2,Interiority,high,CONFIRMED,0
4.7,2,Attention,high,VIOLATED,2
4.7,2,Silence,high,PARTIAL,1
4.7,2,Signature,high,CONFIRMED,0
4.7,3,Duration,med,PARTIAL,1
4.7,3,Register,med,PARTIAL,1
4.7,3,Concreteness,med,PARTIAL,1
4.7,3,Interiority,med,PARTIAL,1
4.7,3,Attention,med,VIOLATED,1.5
4.7,3,Silence,med,CONFIRMED,0
4.7,3,Signature,med,CONFIRMED,0
4.7,4,Duration,high,CONFIRMED,0
4.7,4,Register,high,CONFIRMED,0
4.7,4,Concreteness,high,PARTIAL,1
4.7,4,Interiority,high,CONFIRMED,0
4.7,4,Attention,high,PARTIAL,1
4.7,4,Silence,high,PARTIAL,1
4.7,4,Signature,high,CONFIRMED,0
4.7,5,Duration,high,VIOLATED,2
4.7,5,Register,high,CONFIRMED,0
4.7,5,Concreteness,high,CONFIRMED,0
4.7,5,Interiority,high,CONFIRMED,0
4.7,5,Attention,high,CONFIRMED,0
4.7,5,Silence,high,CONFIRMED,0
4.7,5,Signature,high,VIOLATED,2
4.7,6,Duration,high,VIOLATED,2
4.7,6,Register,high,PARTIAL,1
4.7,6,Concreteness,high,VIOLATED,2
4.7,6,Interiority,high,PARTIAL,1
4.7,6,Attention,high,CONFIRMED,0
4.7,6,Silence,high,CONFIRMED,0
4.7,6,Signature,high,CONFIRMED,0
4.7,7,Duration,med,PARTIAL,1
4.7,7,Register,med,VIOLATED,1.5
4.7,7,Concreteness,med,PARTIAL,1
4.7,7,Interiority,med,CONFIRMED,0
4.7,7,Attention,med,PARTIAL,1
4.7,7,Silence,med,CONFIRMED,0
4.7,7,Signature,med,CONFIRMED,0
4.7,8,Duration,high,PARTIAL,1
4.7,8,Register,high,PARTIAL,1
4.7,8,Concreteness,high,VIOLATED,2
4.7,8,Interiority,high,PARTIAL,1
4.7,8,Attention,high,PARTIAL,1
4.7,8,Silence,high,CONFIRMED,0
4.7,8,Signature,high,PARTIAL,1
4.7,9,Duration,high,VIOLATED,2
4.7,9,Register,high,PARTIAL,1
4.7,9,Concreteness,high,VIOLATED,2
4.7,9,Interiority,high,VIOLATED,2
4.7,9,Attention,high,PARTIAL,1
4.7,9,Silence,high,VIOLATED,2
4.7,9,Signature,high,PARTIAL,1
4.7,10,Duration,high,PARTIAL,1
4.7,10,Register,high,CONFIRMED,0
4.7,10,Concreteness,high,VIOLATED,2
4.7,10,Interiority,high,PARTIAL,1
4.7,10,Attention,high,VIOLATED,2
4.7,10,Silence,high,CONFIRMED,0
4.7,10,Signature,high,VIOLATED,2
4.7,11,Duration,high,VIOLATED,2
4.7,11,Register,high,CONFIRMED,0
4.7,11,Concreteness,high,PARTIAL,1
4.7,11,Interiority,high,PARTIAL,1
4.7,11,Attention,high,VIOLATED,2
4.7,11,Silence,high,CONFIRMED,0
4.7,11,Signature,high,VIOLATED,2
4.7,12,Duration,,N/A,
4.7,12,Register,,N/A,
4.7,12,Concreteness,,N/A,
4.7,12,Interiority,,N/A,
4.7,12,Attention,,N/A,
4.7,12,Silence,,N/A,
4.7,12,Signature,,N/A,
4.8,1,Duration,med,CONFIRMED,0
4.8,1,Register,med,CONFIRMED,0
4.8,1,Concreteness,med,CONFIRMED,0
4.8,1,Interiority,med,CONFIRMED,0
4.8,1,Attention,med,CONFIRMED,0
4.8,1,Silence,med,CONFIRMED,0
4.8,1,Signature,med,CONFIRMED,0
4.8,2,Duration,med,VIOLATED,1.5
4.8,2,Register,med,PARTIAL,1
4.8,2,Concreteness,med,VIOLATED,1.5
4.8,2,Interiority,med,VIOLATED,1.5
4.8,2,Attention,med,PARTIAL,1
4.8,2,Silence,med,VIOLATED,1.5
4.8,2,Signature,med,PARTIAL,1
4.8,3,Duration,high,VIOLATED,2
4.8,3,Register,high,PARTIAL,1
4.8,3,Concreteness,high,PARTIAL,1
4.8,3,Interiority,high,PARTIAL,1
4.8,3,Attention,high,VIOLATED,2
4.8,3,Silence,high,PARTIAL,1
4.8,3,Signature,high,PARTIAL,1
4.8,4,Duration,high,VIOLATED,2
4.8,4,Register,high,PARTIAL,1
4.8,4,Concreteness,high,PARTIAL,1
4.8,4,Interiority,high,PARTIAL,1
4.8,4,Attention,high,VIOLATED,2
4.8,4,Silence,high,CONFIRMED,0
4.8,4,Signature,high,PARTIAL,1
4.8,5,Duration,high,VIOLATED,2
4.8,5,Register,high,PARTIAL,1
4.8,5,Concreteness,high,CONFIRMED,0
4.8,5,Interiority,high,VIOLATED,2
4.8,5,Attention,high,VIOLATED,2
4.8,5,Silence,high,CONFIRMED,0
4.8,5,Signature,high,PARTIAL,1
4.8,6,Duration,med,VIOLATED,1.5
4.8,6,Register,med,CONFIRMED,0
4.8,6,Concreteness,med,PARTIAL,1
4.8,6,Interiority,med,VIOLATED,1.5
4.8,6,Attention,med,PARTIAL,1
4.8,6,Silence,med,VIOLATED,1.5
4.8,6,Signature,med,PARTIAL,1
4.8,7,Duration,med,VIOLATED,1.5
4.8,7,Register,med,PARTIAL,1
4.8,7,Concreteness,med,VIOLATED,1.5
4.8,7,Interiority,med,VIOLATED,1.5
4.8,7,Attention,med,VIOLATED,1.5
4.8,7,Silence,med,VIOLATED,1.5
4.8,7,Signature,med,PARTIAL,1
4.8,8,Duration,high,CONFIRMED,0
4.8,8,Register,high,CONFIRMED,0
4.8,8,Concreteness,high,CONFIRMED,0
4.8,8,Interiority,high,CONFIRMED,0
4.8,8,Attention,high,PARTIAL,1
4.8,8,Silence,high,CONFIRMED,0
4.8,8,Signature,high,CONFIRMED,0
4.8,9,Duration,high,CONFIRMED,0
4.8,9,Register,high,CONFIRMED,0
4.8,9,Concreteness,high,VIOLATED,2
4.8,9,Interiority,high,PARTIAL,1
4.8,9,Attention,high,VIOLATED,2
4.8,9,Silence,high,CONFIRMED,0
4.8,9,Signature,high,PARTIAL,1
4.8,10,Duration,high,CONFIRMED,0
4.8,10,Register,high,CONFIRMED,0
4.8,10,Concreteness,high,CONFIRMED,0
4.8,10,Interiority,high,VIOLATED,2
4.8,10,Attention,high,PARTIAL,1
4.8,10,Silence,high,VIOLATED,2
4.8,10,Signature,high,CONFIRMED,0
4.8,11,Duration,high,CONFIRMED,0
4.8,11,Register,high,PARTIAL,1
4.8,11,Concreteness,high,CONFIRMED,0
4.8,11,Interiority,high,VIOLATED,2
4.8,11,Attention,high,PARTIAL,1
4.8,11,Silence,high,VIOLATED,2
4.8,11,Signature,high,CONFIRMED,0
4.8,12,Duration,,N/A,
4.8,12,Register,,N/A,
4.8,12,Concreteness,,N/A,
4.8,12,Interiority,,N/A,
4.8,12,Attention,,N/A,
4.8,12,Silence,,N/A,
4.8,12,Signature,,N/A,
4.9,1,Duration,,N/A,
4.9,1,Register,,N/A,
4.9,1,Concreteness,,N/A,
4.9,1,Interiority,,N/A,
4.9,1,Attention,,N/A,
4.9,1,Silence,,N/A,
4.9,1,Signature,,N/A,
4.9,2,Duration,high,VIOLATED,2
4.9,2,Register,high,VIOLATED,2
4.9,2,Concreteness,high,VIOLATED,2
4.9,2,Interiority,high,VIOLATED,2
4.9,2,Attention,high,VIOLATED,2
4.9,2,Silence,high,VIOLATED,2
4.9,2,Signature,high,VIOLATED,2
4.9,3,Duration,high,PARTIAL,1
4.9,3,Register,high,CONFIRMED,0
4.9,3,Concreteness,high,PARTIAL,1
4.9,3,Interiority,high,CONFIRMED,0
4.9,3,Attention,high,VIOLATED,2
4.9,3,Silence,high,PARTIAL,1
4.9,3,Signature,,N/A,
4.9,4,Duration,high,VIOLATED,2
4.9,4,Register,,N/A,
4.9,4,Concreteness,high,CONFIRMED,0
4.9,4,Interiority,high,CONFIRMED,0
4.9,4,Attention,high,VIOLATED,2
4.9,4,Silence,high,VIOLATED,2
4.9,4,Signature,,N/A,
4.9,5,Duration,med,VIOLATED,1.5
4.9,5,Register,med,PARTIAL,1
4.9,5,Concreteness,med,PARTIAL,1
4.9,5,Interiority,med,VIOLATED,1.5
4.9,5,Attention,med,VIOLATED,1.5
4.9,5,Silence,med,VIOLATED,1.5
4.9,5,Signature,med,VIOLATED,1.5
4.9,6,Duration,high,CONFIRMED,0
4.9,6,Register,,N/A,
4.9,6,Concreteness,high,CONFIRMED,0
4.9,6,Interiority,high,VIOLATED,2
4.9,6,Attention,high,PARTIAL,1
4.9,6,Silence,high,PARTIAL,1
4.9,6,Signature,,N/A,
4.9,7,Duration,high,CONFIRMED,0
4.9,7,Register,high,PARTIAL,1
4.9,7,Concreteness,high,CONFIRMED,0
4.9,7,Interiority,high,PARTIAL,1
4.9,7,Attention,high,PARTIAL,1
4.9,7,Silence,high,CONFIRMED,0
4.9,7,Signature,high,CONFIRMED,0
4.9,8,Duration,high,VIOLATED,2
4.9,8,Register,high,VIOLATED,2
4.9,8,Concreteness,high,PARTIAL,1
4.9,8,Interiority,high,VIOLATED,2
4.9,8,Attention,high,PARTIAL,1
4.9,8,Silence,high,VIOLATED,2
4.9,8,Signature,high,PARTIAL,1
4.9,9,Duration,high,CONFIRMED,0
4.9,9,Register,high,PARTIAL,1
4.9,9,Concreteness,high,PARTIAL,1
4.9,9,Interiority,high,CONFIRMED,0
4.9,9,Attention,high,CONFIRMED,0
4.9,9,Silence,high,VIOLATED,2
4.9,9,Signature,,N/A,
4.9,10,Duration,high,CONFIRMED,0
4.9,10,Register,high,PARTIAL,1
4.9,10,Concreteness,,N/A,
4.9,10,Interiority,high,PARTIAL,1
4.9,10,Attention,high,VIOLATED,2
4.9,10,Silence,high,PARTIAL,1
4.9,10,Signature,,N/A,
4.9,11,Duration,med,VIOLATED,1.5
4.9,11,Register,med,VIOLATED,1.5
4.9,11,Concreteness,med,PARTIAL,1
4.9,11,Interiority,med,VIOLATED,1.5
4.9,11,Attention,med,VIOLATED,1.5
4.9,11,Silence,med,PARTIAL,1
4.9,11,Signature,med,PARTIAL,1
4.9,12,Duration,,N/A,
4.9,12,Register,,N/A,
4.9,12,Concreteness,,N/A,
4.9,12,Interiority,,N/A,
4.9,12,Attention,,N/A,
4.9,12,Silence,,N/A,
4.9,12,Signature,,N/A,
4.10,1,Duration,high,VIOLATED,2
4.10,1,Register,high,VIOLATED,2
4.10,1,Concreteness,,N/A,
4.10,1,Interiority,,N/A,
4.10,1,Attention,high,VIOLATED,2
4.10,1,Silence,high,CONFIRMED,0
4.10,1,Signature,high,PARTIAL,1
4.10,2,Duration,high,VIOLATED,2
4.10,2,Register,,N/A,
4.10,2,Concreteness,high,VIOLATED,2
4.10,2,Interiority,high,CONFIRMED,0
4.10,2,Attention,,N/A,
4.10,2,Silence,,N/A,
4.10,2,Signature,high,CONFIRMED,0
4.10,3,Duration,high,PARTIAL,1
4.10,3,Register,,N/A,
4.10,3,Concreteness,high,CONFIRMED,0
4.10,3,Interiority,high,CONFIRMED,0
4.10,3,Attention,,N/A,
4.10,3,Silence,high,PARTIAL,1
4.10,3,Signature,high,CONFIRMED,0
4.10,4,Duration,high,CONFIRMED,0
4.10,4,Register,,N/A,
4.10,4,Concreteness,high,PARTIAL,1
4.10,4,Interiority,high,VIOLATED,2
4.10,4,Attention,high,CONFIRMED,0
4.10,4,Silence,high,PARTIAL,1
4.10,4,Signature,high,VIOLATED,2
4.10,5,Duration,high,PARTIAL,1
4.10,5,Register,,N/A,
4.10,5,Concreteness,high,CONFIRMED,0
4.10,5,Interiority,,N/A,
4.10,5,Attention,high,PARTIAL,1
4.10,5,Silence,high,CONFIRMED,0
4.10,5,Signature,high,VIOLATED,2
4.10,6,Duration,high,VIOLATED,2
4.10,6,Register,,N/A,
4.10,6,Concreteness,high,VIOLATED,2
4.10,6,Interiority,high,VIOLATED,2
4.10,6,Attention,high,VIOLATED,2
4.10,6,Silence,high,CONFIRMED,0
4.10,6,Signature,high,PARTIAL,1
4.10,7,Duration,high,CONFIRMED,0
4.10,7,Register,,N/A,
4.10,7,Concreteness,high,CONFIRMED,0
4.10,7,Interiority,high,VIOLATED,2
4.10,7,Attention,,N/A,
4.10,7,Silence,high,CONFIRMED,0
4.10,7,Signature,high,CONFIRMED,0
4.10,8,Duration,med,VIOLATED,1.5
4.10,8,Register,,N/A,
4.10,8,Concreteness,med,VIOLATED,1.5
4.10,8,Interiority,med,PARTIAL,1
4.10,8,Attention,med,VIOLATED,1.5
4.10,8,Silence,,N/A,
4.10,8,Signature,med,CONFIRMED,0
4.10,9,Duration,med,VIOLATED,1.5
4.10,9,Register,,N/A,
4.10,9,Concreteness,med,VIOLATED,1.5
4.10,9,Interiority,med,PARTIAL,1
4.10,9,Attention,med,PARTIAL,1
4.10,9,Silence,med,PARTIAL,1
4.10,9,Signature,med,PARTIAL,1
4.10,10,Duration,high,PARTIAL,1
4.10,10,Register,high,PARTIAL,1
4.10,10,Concreteness,high,VIOLATED,2
4.10,10,Interiority,high,CONFIRMED,0
4.10,10,Attention,high,VIOLATED,2
4.10,10,Silence,high,PARTIAL,1
4.10,10,Signature,high,CONFIRMED,0
4.10,11,Duration,high,VIOLATED,2
4.10,11,Register,high,VIOLATED,2
4.10,11,Concreteness,high,PARTIAL,1
4.10,11,Interiority,high,CONFIRMED,0
4.10,11,Attention,high,VIOLATED,2
4.10,11,Silence,high,PARTIAL,1
4.10,11,Signature,high,VIOLATED,2
4.10,12,Duration,,N/A,
4.10,12,Register,,N/A,
4.10,12,Concreteness,,N/A,
4.10,12,Interiority,,N/A,
4.10,12,Attention,,N/A,
4.10,12,Silence,,N/A,
4.10,12,Signature,,N/A,
4.11,1,Duration,med,VIOLATED,1.5
4.11,1,Register,,N/A,
4.11,1,Concreteness,med,VIOLATED,1.5
4.11,1,Interiority,,N/A,
4.11,1,Attention,med,VIOLATED,1.5
4.11,1,Silence,med,VIOLATED,1.5
4.11,1,Signature,med,VIOLATED,1.5
4.11,2,Duration,med,PARTIAL,1
4.11,2,Register,,N/A,
4.11,2,Concreteness,med,PARTIAL,1
4.11,2,Interiority,med,CONFIRMED,0
4.11,2,Attention,med,VIOLATED,1.5
4.11,2,Silence,med,CONFIRMED,0
4.11,2,Signature,med,PARTIAL,1
4.11,3,Duration,med,CONFIRMED,0
4.11,3,Register,med,PARTIAL,1
4.11,3,Concreteness,med,CONFIRMED,0
4.11,3,Interiority,med,CONFIRMED,0
4.11,3,Attention,med,CONFIRMED,0
4.11,3,Silence,med,CONFIRMED,0
4.11,3,Signature,med,PARTIAL,1
4.11,4,Duration,high,CONFIRMED,0
4.11,4,Register,high,CONFIRMED,0
4.11,4,Concreteness,high,PARTIAL,1
4.11,4,Interiority,high,PARTIAL,1
4.11,4,Attention,high,CONFIRMED,0
4.11,4,Silence,high,PARTIAL,1
4.11,4,Signature,high,CONFIRMED,0
4.11,5,Duration,high,VIOLATED,2
4.11,5,Register,high,CONFIRMED,0
4.11,5,Concreteness,high,CONFIRMED,0
4.11,5,Interiority,high,CONFIRMED,0
4.11,5,Attention,high,CONFIRMED,0
4.11,5,Silence,high,CONFIRMED,0
4.11,5,Signature,high,PARTIAL,1
4.11,6,Duration,high,CONFIRMED,0
4.11,6,Register,high,CONFIRMED,0
4.11,6,Concreteness,,N/A,
4.11,6,Interiority,high,PARTIAL,1
4.11,6,Attention,,N/A,
4.11,6,Silence,high,PARTIAL,1
4.11,6,Signature,high,CONFIRMED,0
4.11,7,Duration,high,VIOLATED,2
4.11,7,Register,high,PARTIAL,1
4.11,7,Concreteness,high,PARTIAL,1
4.11,7,Interiority,high,CONFIRMED,0
4.11,7,Attention,high,CONFIRMED,0
4.11,7,Silence,high,VIOLATED,2
4.11,7,Signature,high,PARTIAL,1
4.11,8,Duration,high,CONFIRMED,0
4.11,8,Register,high,CONFIRMED,0
4.11,8,Concreteness,,N/A,
4.11,8,Interiority,high,PARTIAL,1
4.11,8,Attention,high,CONFIRMED,0
4.11,8,Silence,high,CONFIRMED,0
4.11,8,Signature,high,CONFIRMED,0
4.11,9,Duration,high,VIOLATED,2
4.11,9,Register,high,CONFIRMED,0
4.11,9,Concreteness,high,PARTIAL,1
4.11,9,Interiority,,N/A,
4.11,9,Attention,high,PARTIAL,1
4.11,9,Silence,high,VIOLATED,2
4.11,9,Signature,high,PARTIAL,1
4.11,10,Duration,high,CONFIRMED,0
4.11,10,Register,,N/A,
4.11,10,Concreteness,,N/A,
4.11,10,Interiority,high,VIOLATED,2
4.11,10,Attention,high,CONFIRMED,0
4.11,10,Silence,high,PARTIAL,1
4.11,10,Signature,high,CONFIRMED,0
4.11,11,Duration,high,VIOLATED,2
4.11,11,Register,high,VIOLATED,2
4.11,11,Concreteness,,N/A,
4.11,11,Interiority,high,VIOLATED,2
4.11,11,Attention,high,VIOLATED,2
4.11,11,Silence,high,VIOLATED,2
4.11,11,Signature,high,VIOLATED,2
4.11,12,Duration,,N/A,
4.11,12,Register,,N/A,
4.11,12,Concreteness,,N/A,
4.11,12,Interiority,,N/A,
4.11,12,Attention,,N/A,
4.11,12,Silence,,N/A,
4.11,12,Signature,,N/A,
4.12,1,Duration,,N/A,
4.12,1,Register,,N/A,
4.12,1,Concreteness,,N/A,
4.12,1,Interiority,,N/A,
4.12,1,Attention,,N/A,
4.12,1,Silence,,N/A,
4.12,1,Signature,,N/A,
4.12,2,Duration,,N/A,
4.12,2,Register,,N/A,
4.12,2,Concreteness,,N/A,
